id,name,category,description,address,area,city,state,lat,lng,geocode_status,phone,email,website,social_handle,image_url,source_url,confidence,evidence,dedup_status,matched_place_id,matched_place_name,needs_verification,approved,reviewer_notes
al-minaaj-schools-epe-epe,"Al-Minaaj Schools, Epe",School,"Islamic-oriented school providing quality Islamic and Western education, committed to 'building a legacy of learning and success' through blended traditional and innovative approaches.","1, Old Odoshiwola Road, Opposite Ora Estate, Mojoda, Epe, Lagos State",Epe,Epe,Lagos,6.624134,3.478652,approx,09072920299 / 07048629496 / 08092392535,contact@alminaajschools.com,https://alminaajschools.com,,https://alminaajschools.com/assets/images/schoollogo.png,https://alminaajschools.com/,0.95,"Official website states it is an Islamic-focused school and gives full Mojoda, Epe address, phones and email.",new,,,false,TRUE,owner-approved 2026-07-23 (bulk policy: new + unflagged + conf>=0.6)
the-outliers-school-surulere,The Outliers School,School,"Muslim school in Surulere (preschool through secondary) blending British, Nigerian and Islamic curricula, emphasising academic excellence, character, soft skills and emotional intelligence.","59 Bode Thomas Street, Surulere, Lagos",Surulere,Lagos,Lagos,6.543899,3.498905,approx,07030949154 / 09072745354,info@theoutliersschool.com,https://theoutliersschool.com,@the_outliers_school (Instagram),https://theoutliersschool.com/wp-content/uploads/2020/01/LOGO1-1.png,https://theoutliersschool.com/,0.95,"Official website ('The Best Muslim School In Surulere Lagos') gives address on Bode Thomas Street, phones and email.",new,,,false,TRUE,owner-approved 2026-07-23 (bulk policy: new + unflagged + conf>=0.6)
alhaleem-international-schools-surulere-ijeshatedo,Alhaleem International Schools,School,"Islamic-oriented private institution (creche through secondary) founded 3 June 1991, offering unified learning on British/Nigerian/Islamic curricula to train students distinguished in character and learning.","21 & 34 Erelu Danisa Street, Ijeshatedo, Surulere; 17, 19 & 21 Olumegbon Street, off Funsho Williams Avenue, Surulere, Lagos",Surulere (Ijeshatedo),Lagos,Lagos,6.543899,3.498905,approx,08023051147,,https://alhaleeminternationalschools.com.ng,,https://alhaleeminternationalschools.com.ng/wp-content/uploads/2022/11/cropped-logo.png,https://alhaleeminternationalschools.com.ng/,0.95,Official website describes the Islamic-oriented school and lists both Surulere campus addresses and phone.,new,,,false,TRUE,owner-approved 2026-07-23 (bulk policy: new + unflagged + conf>=0.6)
ansar-ud-deen-academy-surulere-surulere,"Ansar Ud Deen Academy, Surulere",School,Founded in 1958 by the Ansar-Ud-Deen Society; day and boarding school encouraging academic and technical excellence.,"5, Owolewa Street, off Randle Avenue, Surulere, Lagos",Surulere,Lagos,Lagos,6.543899,3.498905,approx,"+234 8066191966, +234 8021467767",adgs1958@gmail.com,https://www.adetschools.org/adgs/,facebook: adgsgrams,,https://oeqalagos.com/wp-content/uploads/2023/08/Secondary-SchoolsSchools.pdf,0.95,"Lagos OEQA approved private secondary schools list (approved 2007) shows Ansar Ud Deen Academy at 5 Owolewa Street, off Randle Avenue, Surulere; Ansar-Ud-Deen is a Muslim educational society.; also seen at https://www.nigeriaprivateschools.com/index.php/en/post-detail/33/Top-Islamic-Private-Schools-in-Lagos; also seen at https://www.adetschools.org/adgs/; also seen at https://www.nigeriaprivateschools.com/index.php/en/post-detail/33/Top-Islamic-Private-Schools-in-Lagos",new,,,false,TRUE,owner-approved 2026-07-23 (bulk policy: new + unflagged + conf>=0.6)
ansar-ud-deen-girls-high-school-itire-itire-surulere-axis,"Ansar-Ud-Deen Girls' High School, Itire",School,"Described as one of the oldest secondary schools in Lagos, providing qualitative education with high moral and spiritual values.","71/77 Onitire Road, Itire, Mushin, Lagos",Itire (Surulere axis),Lagos,Lagos,6.510906,3.335249,approx,"+234 806 240 0326, +234 707 025 8226",coordinator@adetschools.org,https://www.adetschools.org/,adghschool (Facebook/Twitter/Instagram/YouTube),https://www.adetschools.org/wp-content/uploads/2022/08/audgirlshighsch_log-140x90.png,https://www.nigeriaprivateschools.com/index.php/en/post-detail/33/Top-Islamic-Private-Schools-in-Lagos,0.95,Named in NigeriaPrivateSchools' 'Top Islamic Private Schools in Lagos' article as an Ansar-Ud-Deen (Muslim society) girls' school in Itire.; also seen at https://www.adetschools.org/; also seen at https://www.adetschools.org/home-aud-girls-high-sch/; also seen at https://adghschool.com.ng/,new,,,false,TRUE,owner-approved 2026-07-23 (bulk policy: new + unflagged + conf>=0.6)
at-tanzeel-schools-ikorodu,At-Tanzeel Schools,School,"Full boarding Islamic primary and secondary school providing a well-rounded education in tandem with the Qur'an and the Sunnah, with Hifz and Arabic classes, Islamic and moral education, and Cambridge IGCSE/A-Level programmes.","Valley View Estate, Olowojegudu Street, Off Faniyi Street, Off Ebute Igbogbo Road, Ikorodu, Lagos",Ikorodu,Ikorodu,Lagos,6.608703,3.513831,approx,+234 810 589 1274,info@attanzeelschools.com,https://attanzeelschools.com/,,,https://attanzeelschools.com/,0.95,"School's own website states the Ikorodu address, phone, email, Hifz/Islamic curriculum and levels (nursery to senior secondary).; also seen at https://www.finelib.com/education/schools-in-nigeria/arabic-schools",new,,,false,TRUE,owner-approved 2026-07-23 (bulk policy: new + unflagged + conf>=0.6)
manaar-schools-ikorodu-igbe,Manaar Schools,School,"Islamic school founded 27 September 2015 blending Islamic values with quality academics: Qur'an memorization, Islamic studies and Arabic integrated into daily learning; pre-primary, primary and college with Cambridge Lower Secondary and IGCSE approval.","Primary: Suwebatu Abisola Taiwo Close, Opposite Equitable Estate, Igbe Oloja, Ikorodu; College: Alhaji Tijani Street, Behind Saudi Mosque, Degolu, Igbe Laara, Ikorodu, Lagos",Ikorodu (Igbe),Ikorodu,Lagos,6.601492,3.522419,approx,"09053030337, 08084491461, 09092328629",admin@manaarschool.com,https://manaarschools.com/,,,https://manaarschools.com/,0.95,"School's own website states founding date, Islamic curriculum, both Ikorodu campus addresses, phones and email.",new,,,false,TRUE,owner-approved 2026-07-23 (bulk policy: new + unflagged + conf>=0.6)
anwar-ul-islam-model-college-agege-agege-dopemu,"Anwar-Ul Islam Model College, Agege",School,Muslim mission secondary college upholding 'a tradition of excellence in both academics and character development'.,"1, Oniwaya Road, Dopemu, Agege, Lagos",Agege (Dopemu),Lagos,Lagos,6.620825,3.325258,approx,+234 803 385 6059,info@anwarulislammodelcollege.com,https://anwarulislammodelcollege.com/,,https://anwarulislammodelcollege.com/wp-content/uploads/2024/04/Long-Logo.png,https://anwarulislammodelcollege.com/contact-us/,0.95,"School's own contact page gives the Oniwaya Road, Dopemu Agege address, phone and email; the school carries the Anwar-Ul Islam (Muslim organisation) name.; also seen at https://anwarulislammodelcollege.com/aimngs/; also seen at https://educeleb.com/list-of-public-primary-schools-in-lagos-state/",new,,,false,TRUE,owner-approved 2026-07-23 (bulk policy: new + unflagged + conf>=0.6)
lagos-muslim-international-school-lamis-ijaiye-ojokoro-ifako-ijaiye,Lagos Muslim International School (LAMIS),School,"Muslim school established September 2016 operating Western and Islamic curricula, with Qur'an memorisation requirements at each exit point; offers Pre-School, Primary and College.","College: 17 Sadatu Street, Off Lawal Street, By Clem, Jankara-Ijaiye; Primary: 73 Clem Road, Jankara; Pre-School: 23 Raliat Adepeju Street, Jankara, Ijaiye-Ojokoro, Lagos",Ijaiye-Ojokoro (Ifako-Ijaiye),Lagos,Lagos,6.636875,3.48585,approx,"08108223988, 08052643310, 09093282228",info@lamisschool.org,https://lamisschool.org/,,https://lamisschool.org/advert/1694004541c33984ee6fe6b06954a66f5819653347.jpeg,https://lamisschool.org/aboutacademy.php,0.95,"School's own website states the Muslim/Islamic curriculum, all three Jankara/Ijaiye-Ojokoro campus addresses, phones and emails.; also seen at https://lamisschool.org/; geocode: area centroid",new,,,false,TRUE,owner-approved 2026-07-23 (bulk policy: new + unflagged + conf>=0.6)
daarus-salam-tahfidh-int-l-academy-ijegun-ikotun-alimosho,Daarus Salam Tahfidh Int'l Academy,School,"Qur'an memorization academy established in Ijegun, Alimosho in 2016; boarding (ages 10+, 3-year hifz with Hadith, Tajweed, Fiqh, Sirah, Arabic), day (pre-school to primary, 70% Qur'anic/Arabic, 30% Western) and online programmes.","18, Mariamo Close, off Ikotun-Ijegun Road, Ikotun, Lagos",Ijegun/Ikotun (Alimosho),Lagos,Lagos,6.443168,3.272934,approx,"+234 805 620 1311, +234 916 625 8000, +234 803 820 0327",info@darusalamacademy.com,https://www.darusalamacademy.com/,Instagram: dastiaedu_and_youthconsult; Facebook: dastiaacademy,https://darusalamacademy.com/img/logo_rr2.png,https://www.darusalamacademy.com/homepage.php,0.95,"Academy's own website states the Ikotun-Ijegun address, phones, emails and full tahfidh programme details.; also seen at https://darusalamacademy.com/about.php",new,,,false,TRUE,owner-approved 2026-07-23 (bulk policy: new + unflagged + conf>=0.6)
